Команда,Всего баллов
"Крипто_ФОРК (Гончаров Виктор, Слипенко Михаил, Савран Елена, Коржов Иванова, Черняков Павел)",192
"Чип_42 (Казанцев Андрей, Усиков Андреев, Морозов Олег, Лебедева Петров, Сыгинь Михаил)",192
"Хак.Вектор (Бородин Артём, Иншина Дмитрий, Тебиев Иванов, Минатуллаев Михаил, Акладский Иванова)",191
"Team_Техно (Мунаев Борис, Рыбаков Иван, Мизерий Артём, Жданкин Олег, Рябцев Сергей)",191
"Титан503 (Вавилин Иванов, Голованева Олег, Салищева Мария, Пеньков Артём, Сердюков Владимиров)",191
"Группа_Комп (Владислав Олег, Салищева Иванов, Кадиев Андреев, Павлов Николай, Иншина Андрей)",191
"Комп_ФИКС (Пучков Борис, Карпова Елена, Гарун Иванова, Королев Владимиров, Сусуев Сергеев)",191
"ХАХАТОН (Кузьмичёва Сергей, Сердюкова Елена, Петров Рустам, Фесунов Владимиров, Ткаченко Виктор)",190
"Команда_Софт (Тюменев Ильдар, Севрюков Павел, Гилевский Петров, Хлебнов Иванова, Деркач Иван)",190
"Техно@ХАЙП (Ткаченко Олег, Прокошин Виктор, Ушаков Ильдар, Саракеев Владимиров, Казаков Рустам)",190
"Порт404 (Кузнецов Артём, Лаврентьев Иванова, Абасова Андрей, Тимошенко Виктор, Хоменко Михаил)",190
"Крипто42 (Черняков Павел, Чистяков Иван, Гучиев Алексей, Шумский Петров, Шуверов Борисов)",190
"Сеть_Система (Фомин Сергеев, Смирнов Артём, Трунин Андрей, Бунякова Иванов, Сластёнов Ильдар)",190
"Комп_42 (Огаркова Елена, Агишин Алексей, Булгаков Артём, Ахмадов Михаил, Мельников Виктор)",190
"ВебУЛЬТРА (Таранов Иван, Даниил Иванов, Романенко Владимиров, Фёдор Мария, Усиков Павел)",189
"Сайт.Отряд (Чирцков Ильдар, Прижигалинская Виктор, Киселев Андрей, Хабибрахманов Владимиров, Ховалыг Иванов)",189
"Бит.Портал (Козлова Петров, Толстов Сергей, Шумский Андреев, Артём Борисов, Перов Олег)",189
"Легион42 (Нестюркин Николай, Кожанов Андрей, Игорь Сергей, Салищева Борисов, Веревкин Иванова)",189
"Бот404 (Серов Артём, Смирнов Андрей, Романенко Иванова, Новиков Рустам, Бачковская Мария)",189
"Алго🔥Группа (Хоменко Борис, Рустамов Сергеев, Дежина Борисов, Руднев Рустам, Аргунова Мария)",188
"Брянск-3 (Эверстов Иван, Казанцев Ильдар, Степуро Рустам, Адамович Виктор, Бельков Артём)",188
"Алго-Квант (Мамедова Елена, Перов Михаил, Королев Рустам, Попова Олег, Ибрагимов Иванов)",188
"НейроСеть (Ростошинский Артём, Утлякова Мария, Хабибрахманов Рустам, Кучумов Сергеев, Ледовской Алексей)",188
"Техно_TEAM (Рябцев Дмитрий, Кузнецова Сергей, Бакулин Рустам, Михайлов Андрей, Шишко Владимир)",188
"Бит.Квант (Хамзатов Павел, Ибрагимов Артём, Черняков Петров, Даниил Андреев, Гарун Иван)",188
"SUPER_Линукс (Сергеев Иванова, Адаменко Иван, Суровцев Виктор, Бевз Артём, Шумский Михаил)",188
"СетьМЕТА (Хамзатов Михаил, Евгений Андрей, Рыданов Павел, Александр Дмитрий, Кулькова Олег)",188
"СофтPro (Дасаева Елена, Ушаков Сергеев, Бурылов Андреев, Болтиев Николай, Семенов Андрей)",187
"Сокол200 (Шиндяпин Сергеев, Зозуля Иван, Слипенко Виктор, Гербылев Владимир, Пермяков Петров)",187
"Бит314 (Сайпулаев Андреев, Пучкова Елена, Матвей Борис, Кудзаев Николай, Черняков Михаил)",187
"Софт⭐Импульс (Иванова Дмитрий, Бережнов Михаил, Смирнов Артём, Рыданов Владимир, Шишко Сергей)",187
"СетьPro (Богдан Иванов, Соловьёв Виктор, Серов Петров, Дикилиев Сергей, Морозова Мария)",187
"Квант503 (Александров Андрей, Гилевский Владимиров, Саракеев Иван, Болтиев Петров, Кадиев Сергей)",187
"Инфо_Портал (Яременко Алексей, Коржов Николай, Григорьев Иванов, Бачковская Иван, Савин Михаил)",186
"Группа_Сеть (Васильева Алексей, Алаудинов Иванов, Алексашин Дмитрий, Линт Мария, Лосяков Рустам)",186
"ПрогPro (Вавилина Мария, Павлова Николай, Полин Владимир, Линт Борисов, Ткаченко Андреев)",186
"АлгоТитан (Абасова Рустам, Никулин Владимир, Ялоза Виктор, Тюрина Елена, Толстов Ильдар)",186
"ТехноМГУ (Рябцев Петров, Чепурной Андрей, Алексашин Артём, Дасаев Михаил, Гилевский Владимир)",186
"Блок_МГУ (Палабугин Артём, Козлов Борисов, Данилова Михаил, Пономарёв Иванова, Бунякова Сергей)",186
"ЧипPlus (Эверстов Михаил, Ткаченко Олег, Гурина Артём, Павлов Сергеев, Максим Павел)",185
"SUPER_Прог (Жирнов Дмитрий, Таранов Иван, Хлебнов Ильдар, Романенко Виктор, Мангасарян Владимир)",185
"Порт.Проект (Гучиев Артём, Козлов Ильдар, Хоменко Дмитрий, Лосяков Алексей, Антон Иванова)",185
"Софт.Система (Тюменев Ильдар, Дмитриев Николай, Зайцев Олег, Абасова Алексей, Батаев Андреев)",185
"Группа_Баг (Веремеенко Владимиров, Эверстов Дмитрий, Шипик Михаил, Сермягин Ильдар, Прижигалинская Андрей)",185
"Бот#200 (Звездаков Иванов, Павлов Петров, Рощупкин2 Ильдар, Рябцев Иванова, Кузьмичёва Сергей)",185
"Вектор101 (Сайпулаев Борисов, Венюков Михаил, Болтиев Ильдар, Суровцев Сергей, Таранов Олег)",184
"Team_Прог (Алаудинов Иванов, Утляков Николай, Набиуллин Артём, Коржов Иванова, Полин Олег)",184
"SUPER_Крипто (Уматкереев Иван, Кузьмичёва Сергей, Руднев Иванов, Ростошинский Павел, Тюменев Борис)",184
"Бит007 (Речкунов Алексей, Дикилиева Мария, Алаудинов Сергеев, Салищева Иванова, Черняков Андреев)",184
"Чат🎯Мастер (Пешехонова Мария, Григорьев Павел, Горетов Борисов, Соболев Борис, Pavel Михаил)",183
"КомпPlus (Линт Олег, Герман Владимиров, Мунаев Артём, Сермягин Андреев, Александр Сергеев)",183
"Сайт777 (Огаркова Павел, Веремеенко Борис, Здоровцов Алексей, Силуянов Иванов, Ибрагимов Андрей)",183
"НейроСтарт (Казанцев Николай, Забигин Андрей, Михайлов Ильдар, Пучков Владимир, Волков Рустам)",183
"СетьКоманда (Кузнецова Борисов, Бунякова Олег, Полин Ильдар, Веремеенко Николай, Афанасьева Елена)",183
"Сеть404 (Мельников Андреев, Сергей Андрей, Епишин Павел, Лебедева Мария, Шмураков Олег)",183
"Сайт_Питер (Федосов Петров, Аргунов Борисов, Пучков Михаил, Петров Иванов, Болтиев Рустам)",182
"Крипто🤖Сектор (Евтушенко Петров, Чистяков Иванов, Деркач Павел, Бережнова Елена, Смирнов Владимир)",182
"Алго_Квант_TOP (Антонов Дмитрий, Котов Артём, Амерханов Рустам, Авхадеев Ильдар, Лебедева Иван)",182
"Винд-ХАЙП (Решетникова Елена, Коваленко Павел, Шанавазов Артём, Кливиткин Борисов, Гучиев Сергей)",182
"Алго🎯1337 (Прокошин Павел, Яременко Иванова, Денис Артём, Морозов Михаил, Саракеев Владимир)",182
"Пермь418 (Романенко Иванов, Даниил Ильдар, Коршенюк Рустам, Гнездилов Павел, Тимошенко Владимир)",182
"ПРОД_МАСТЕР🔥 (Поярков Андреев, Мамедов Виктор, Чернигина Елена, Бевз Иванов, Севрюков Иванова)",181
"BiTech (Идрисова Андрей, Деркач Борис, Ростов Сергеев, Воробьев Павел, Попов Артём)",181
"Нет-ИЗИКАТ (Акладский Олег, Рогачева Мария, Иванов Павел, Горетов Михаил, Тебиев Петров)",181
"СофтPlus (Крылов Сергей, Даниил Николай, Черняков Андреев, Ростов Андрей, Иванов Павел)",181
"Команда_Порт (Тюнина Мария, Мангасарян Борисов, Перов Ильдар, Зацепин Артём, Есаулов Алексей)",181
"Нет_503 (Пермяков Дмитрий, Первая Мария, Завацкий Алексей, Ростошинский Ильдар, Зацепин Владимир)",181
"СайтИмпульс (Владимир Виктор, Бусыгина Мария, Бережнов Сергеев, Ховалыг Андрей, Рыбаков Дмитрий)",181
"Код#Мастер (Лебедева Елена, Звездаков Петров, Темиров Борисов, Жданкин Андреев, Усикова Мария)",180
"PRO_Крипто (Рудяк Андрей, Аминов Иван, Сыгинь Мария, Виктория Сергеев, Звездаков Владимиров)",180
"ИЗИКАТ-Блок (Кирилл Мария, Авхадеев Иванов, Шалькин Андрей, Оконешников Петров, Чистяков Владимир)",180
"ЧатТитан (Семенова Борисов, Звездаков Борис, Тебиев Андреев, Саракеев Артём, Рожкова Мария)",180
"Группа_Линукс (Усиков Михаил, Ульянов Иван, Пономарёв Николай, Адымханов Рустам, Галкин Борис)",180
"Система1337 (Галахов Виктор, Шамиль Елена, Шипик Андрей, Павлова Рустам, Пучков Ильдар)",180
"ПрогPlus (Шумский Иванова, Акладский Борис, Козлов Владимир, Лосяков Андрей, Мухина Елена)",179
"Группа_Инфо (Степуро Иванов, Мухин Иван, Багдасарян Олег, Чернигин Рустам, Воробьев Андреев)",179
"Линукс-Пермь (Бородин Алексей, Целищев Виктор, Речкунов Иван, Швец Сергей, Меликсетян Ильдар)",179
"Team_Веб (Пешехонов Андрей, Мансур Дмитрий, Бережнов Виктор, Сикоев Олег, Гилевский Николай)",179
"Прог-ВГУ (Ковалева Андрей, Идрисов Сергей, Речкунов Дмитрий, Карпов Борисов, Евгений Иванов)",179
"Комп-ФОРК (Огаркова Андреев, Батаев Иван, Попов Иванова, Зараменских Мария, Гончаров Ильдар)",179
"Алго.УЛЬТРА (Хидиров Петров, Мунаева Мария, Силуянов Сергей, Бунякова Олег, Геворгян Елена)",178
"!false === true (Коршенюк Борисов, Гончаров Борис, Петров Николай, Авхадеев Владимир, Гнездилова Елена)",178
"МГУ-Байт (Горетов Артём, Чажаев Андреев, Васильева Ильдар, Рощупкин2 Владимир, Руднев Виктор)",178
"Кибер.Титан (Зарипов Иванова, Федосеев Петров, Мехедов Николай, Рожков Артём, Федосов Михаил)",178
"Нет-МЕТА (Тебиев Борисов, Герман Ильдар, Овчинников Дмитрий, Черняков Виктор, Жирнов Рустам)",177
"Байт-Группа (Бурылов Иванов, Щербинин Сергей, Силуянова Мария, Кукушкин Николай, Яременко Борис)",177
"SUPER_Диск (Антонов Олег, Уматкереева Елена, Соловьёв Борис, Попов Иван, Зайцев Сергей)",177
"CodeМейкер (Богдан Виктор, Степин Николай, Матвей Артём, Сейдаметов Иванов, Набиуллин Алексей)",177
"Хак.Импульс (Садовников Иванов, Ялоза Сергеев, Хлебнов Владимир, Владислав Елена, Рустамов Дмитрий)",177
"ЧипПроект (Шиндяпин Владимиров, Максим Павел, Рябцев Алексей, Сайпулаев Сергеев, Чистякова Елена)",177
"Томск-Сайт (Кливиткин Петров, Лебедева Елена, Стадник Андрей, Трепалин Иван, Семенова Рустам)",177
"Баг007 (Кучумов Артём, Балакшин Иванов, Фесунов Борис, Ахмадова Елена, Cawa Андрей)",177
"МАСТЕР_КОД (Никулин Борисов, Жирнов Ильдар, Пучков Михаил, Пермяков Владимир, Тимошенко Петров)",176
"СайтДЕБАГ (Яременко Павел, Бережнов Сергей, Бурылов Андрей, Оконешников Иван, Меликсетян Виктор)",176
"Диск.Москва (Сейдаметов Петров, Данилова Михаил, Афанасьева Елена, Туркин Борис, Алексашин Андрей)",176
"Team_Кибер (Адамович Петров, Кудзаев Дмитрий, Ушаков Иванова, Илья Владимир, Тюменев Сергеев)",176
"Хак_СКИЛЛ_TOP (Мизерий Иванова, Швец Иван, Федоров Артём, Алаудинов Сергеев, Забигина Елена)",176
"СГТУ-Бит (Зарипов Борисов, Гущин Олег, Сластёнов Иванов, Георг Виктор, Хандрамай Владимир)",176
"ДатаПРОД (Алексашин Владимир, Степин Артём, Амерханов Борисов, Силуянов Сергеев, Речкунов Михаил)",176
"Кибер_ХАЙП (Мехедов Борис, Евтушенко Владимиров, Киселев Дмитрий, Деркач Павел, Панкин Виктор)",176
"Порт#Сектор (Решетников Алексей, Фесунов Владимир, Пучков Иванова, Бурылов Борисов, Бородин Иван)",176
"БитБайт (Соловьёв Андрей, Галкина Николай, Егорова Мария, Балакшин Иванова, Цуев Сергей)",175
"НейроНавты (Котов Иванов, Петров Иван, Сабитов Сергеев, Воробьев Рустам, Сидоров Дмитрий)",175
"Порт_МГУ (Киселёв Иван, Меликсетян Иванова, Балакшин Борис, Абдулхалик Иванов, Кузнецова Сергеев)",175
"Бит_TEAM (Назарцев Иванов, Абасова Владимиров, Адамович Виктор, Alina Иван, Адымханов Михаил)",175
"Сеть-Казань (Шалькин Андреев, Веремеенко Владимир, Салищева Дмитрий, Рожкова Мария, Киселев Иванова)",175
"Нейро🎲Портал (Мунаев Сергеев, Трепалин Алексей, Волков Михаил, Булгаков Артём, Гурьев Ильдар)",175
"Сеть🚀256 (Егоров Петров, Адамович Иван, Константинова Елена, Меликсетян Андрей, Хоменко Николай)",175
"ПортИЗИКАТ (Чичигинаров Ильдар, Казаков Андрей, Шунелько Дмитрий, Зайцев Андреев, Георг Борис)",174
"ИнфоТех (Никулин Дмитрий, Соловьёв Владимиров, Хоменко Андреев, Зараменских Борисов, Хандрамай Сергеев)",174
"Сайт.Легион (Ушаков Борис, Хлебнова Елена, Утляков Борисов, Шиндяпин Иван, Alina Артём)",174
"НейроPlus (Алаудинов Артём, Кудзаев Борис, Лаврентьева Мария, Хамзатов Сергей, Фесунов Иванов)",174
"Чат🎮256 (Федосеев Артём, Дежина Сергей, Игорь Иван, Попов Сергеев, Зозуля Павел)",174
"SUPER_Код (Зайцева Павел, Федосеев Владимиров, Гарун Борисов, Николаенко Сергеев, Мусостова Мария)",174
"КиберГений (Шишко Владимиров, Кудзаев Петров, Забигин Артём, Шмураков Андрей, Королев Павел)",173
"ПРОГ_365 (Бевз Владимиров, Коршенюк Павел, Вавилин Ильдар, Пономарёв Сергей, Иншина Борисов)",173
"SUPER_Сеть (Хамзатов Виктор, Щелкушкин Михаил, Палабугин Борисов, Линт Борис, Фёдор Сергеев)",173
"Диск.Феникс (Федосеев Рустам, Евгений Алексей, Лосяков Сергей, Ушаков Петров, Тюменев Владимиров)",173
"Байт_Вектор_TOP (Рожков Сергеев, Бельков Артём, Кузьмичёва Дмитрий, Геворгян Сергей, Шуверов Иванова)",173
"Квант256 (Евгений Олег, Коваленко Борис, Воронин Сергей, Иванов Михаил, Гербылев Иванов)",173
"ЧатФеникс (Поярков Петров, Бородин Николай, Палабугина Мария, Веревкин Иван, Павлов Павел)",173
"Крипто_МГТУ (Сластёнов Борисов, Иванова Андрей, Мансур Олег, Фомин Николай, Яременко Мария)",173
"АлгоРТУ (Абасова Владимир, Тюрин Рустам, Слипенко Виктор, Сикоев Иван, Гурьев Борисов)",173
"Линукс_Казань (Бичилов Владимир, Садовников Ильдар, Ялоза Мария, Шиндяпин Николай, Ковалева Иванов)",173
"Байт⭐101 (Бачковская Борисов, Шмычков Иванова, Пермяков Николай, Целищева Мария, Сапов Владимиров)",172
"Веб.Вектор (Шиндяпин Владимир, Попова Владимиров, Савин Алексей, Сердюков Николай, Гришин Михаил)",172
"Винд🤖777 (Геворгян Алексей, Павлова Петров, Епишина Елена, Бевз Николай, Мехедова Мария)",172
"КомпТЕСТ (Ковалева Рустам, Смирнов Владимиров, Забигин Михаил, Рязанов Сергеев, Куликов Николай)",172
"Team_Бит (Кузнецова Николай, Шмураков Алексей, Фёдор Сергеев, Голованева Иванова, Зайцев Дмитрий)",172
"Сеть.Мастер (Киселёв Елена, Дикилиев Рустам, Ялоза Михаил, Гончаров Борисов, Зозуля Иванов)",172
"Сайт.Пермь (Котов Михаил, Соловьёв Сергеев, Забигин Артём, Гилевский Сергей, Зайцева Владимир)",172
"Веб🎯Проект (Мусостов Рустам, Акладский Ильдар, Речкунов Дмитрий, Евгений Николай, Кадиева Мария)",172
"Веб_Самара (Артём Сергеев, Голубинец Владимир, Геворгян Иванов, Епишин Виктор, Рязанов Олег)",172
"Вектор-Линукс (Королев Владимир, Афанасьев Иванов, Жданкин Андреев, Бакулин Иван, Чикуров Андрей)",172
"Техно.Томск (Хамзатов Иванова, Ушаков Михаил, Саракеев Иванов, Батаев Алексей, Чичигинаров Артём)",172
"Кибер.СГТУ (Кулькова Иванова, Тимошенко Андрей, Авхадеева Мария, Владислав Андреев, Просвиркин Владимир)",171
"Сокол-Сеть (Сейдаметов Рустам, Волков Владимир, Тимошенко Иванов, Казанцев Борис, Александров Олег)",171
"Винд🎮Сектор (Пермяков Николай, Антон Елена, Семенов Борис, Козлова Дмитрий, Alina Рустам)",171
"Сайт🤖МФТИ (Сластёнов Сергей, Cawa Андрей, Фёдор Павел, Жирнов Виктор, Сергей Борисов)",171
"Сокол314 (Иншина Ильдар, Фомин Артём, Мангасарян Михаил, Кожанов Алексей, Овчинников Андреев)",170
"Баг!Импульс (Коржов Михаил, Туркин Андрей, Григорьев Иван, Рогачев Борисов, Епишин Рустам)",170
"БотРЕЛИЗ (Агишин Сергеев, Садовников Алексей, Лебедев Борисов, Рощупкин Ильдар, Королев Дмитрий)",170
"Центр42 (Бакулин Ильдар, Салищева Николай, Забигин Алексей, Толстунов Виктор, Сыгинь Рустам)",170
"Винд.Сектор (Цуев Владимиров, Назарцев Петров, Владимир Павел, Попов Андреев, Поярков Олег)",170
"Модуль101 (Дикилиев Андрей, Новиков Борис, Герман Иванов, Казаков Николай, Кормин Ильдар)",170
"Импульс256 (Веревкин Андреев, Павлов Николай, Георг Рустам, Бусыгин Иван, Александров Иванов)",170
"SUPER_Комп (Киселёв Сергей, Костяев Павел, Кудзаев Иван, Епишин Андрей, Pavel Иванов)",170
"Чип_СУПЕР (Полин Артём, Ковалева Елена, Гнездилов Борисов, Сайпулаев Иванова, Соколов Виктор)",170
"Диск-Группа (Антонов Владимир, Линт Виктор, Cawa Андреев, Щербинин Ильдар, Евгений Иван)",170
"Техно🚀ИТМО (Первий Артём, Степин Ильдар, Попова Дмитрий, Дашуев Владимир, Ахмадов Сергей)",169
"ПрогОтряд (Евгений Рустам, Фесунов Петров, Зацепин Борисов, Васильева Елена, Чистяков Алексей)",169
"Инфо_СПбГУ (Антон Андрей, Галахов Николай, Темиров Олег, Евтушенко Иванов, Иванова Петров)",169
"НейроСКИЛЛ (Волков Андрей, Акладский Иванов, Гучиева Елена, Мельников Владимиров, Казаков Петров)",169
"КриптоСтарт (Просвиркин Рустам, Ховалыг Иван, Бородин Борисов, Севрюкова Мария, Сыгинь Иванов)",169
"КОД_42 (Веремеенко Борис, Тимошенко Елена, Илья Андрей, Максим Николай, Герман Ильдар)",168
"Нет503 (Сердюков Иванова, Садовников Сергей, Семенов Олег, Шиндяпина Елена, Шмураков Ильдар)",168
"Нейро_Формат (Гнездилов Петров, Владимир Андреев, Фомин Борис, Чистяков Иван, Алексашин Владимир)",168
"Байт-ВГУ (Киселёв Мария, Сайпулаев Павел, Туманов Николай, Хандрамай Иванов, Мизерий Борисов)",168
"Код🤖1337 (Мельников Олег, Рощупкин Виктор, Антонов Иван, Бунякова Мария, Воробьев Ильдар)",168
"ProКоманда (Рожков Рустам, Alina Сергеев, Сикоев Николай, Ховалыг Петров, Садовников Андреев)",167
"ИнфоPlus (Адамович Борисов, Степин Борис, Чикуров Иванова, Александр Николай, Ковалева Павел)",167
"Команда_Кибер (Мамедов Владимир, Ростов Олег, Багдасарян Андреев, Жирнов Виктор, Хоменко Артём)",167
"Прог-Титан (Кузнецова Дмитрий, Палабугина Елена, Гнездилов Николай, Ростошинский Рустам, Хабибрахманов Артём)",167
"Винд.Легион (Решетников Иванов, Рогачев Андрей, Рощупкин Борис, Ростов Алексей, Александров Михаил)",167
"Старт1337 (Садовникова Елена, Вавилин Иванова, Швец Владимир, Соловьёв Мария, Николаенко Ильдар)",167
"Бот.Брянск (Евгения Владимир, Бунякова Андрей, Михайлов Владимиров, Магомедова Сергеев, Гончаров Николай)",167
"Сеть_TEAM (Веревкин Борис, Куликов Павел, Шмураков Олег, Данилова Сергеев, Черняков Иван)",166
"СГТУ-Код (Иванов Ильдар, Звездаков Виктор, Салищева Дмитрий, Хоменко Иван, Иншина Иванова)",166
"Порт_МГУ_TOP (Пономарёв Алексей, Зайцев Владимир, Бусыгин Андрей, Евгений Ильдар, Александров Рустам)",166
"ВиндГений (Дасаев Сергеев, Иванова Сергей, Казаков Петров, Кудзаев Иванова, Морозов Иванов)",166
"Веб_НАНО_TOP (Валентин Дмитрий, Васильев Владимиров, Мансур Ильдар, Утляков Андрей, Савина Елена)",166
"Инфо🎲503 (Первий Иванов, Бакулин Артём, Константинов Владимир, Матвей Николай, Поярков Иван)",166
"Бот.Легион (Рощупкин2 Николай, Шалькин Иван, Шунелько Олег, Семенов Рустам, Павлов Михаил)",166
"БлокКоманда (Богдан Андреев, Силуянов Иванова, Рязанов Николай, Акладский Иван, Иванова Виктор)",166
"Алго🎯УЛЬТРА (Звездаков Дмитрий, Соколов Михаил, Гришин Андреев, Мунаев Иванова, Уматкереев Рустам)",165
"Код.Импульс (Мухин Иванова, Шмычков Рустам, Рощупкин Владимиров, Хидиров Дмитрий, Щелкушкина Елена)",164
